epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.91597,0.96796,2.07132,0.74177,0.6885,0.83746,0.81269,0.47675,1.02566,2.21432,0.86009,9.996e-05,9.996e-05,9.996e-05
2,11.9582,0.95219,2.08907,0.75717,0.62019,0.71607,0.70161,0.37834,1.16916,2.24808,0.91386,0.000204782,0.000204782,0.000204782
3,16.7533,0.94028,2.00071,0.71799,0.57902,0.76087,0.71796,0.4043,1.17445,2.29747,0.96866,0.000305997,0.000305997,0.000305997
4,21.4762,0.95701,1.95088,0.73437,0.61817,0.78955,0.71843,0.40051,1.14055,2.23821,0.93991,0.000403605,0.000403605,0.000403605
5,26.1608,0.93025,2.04763,0.75413,0.6319,0.86909,0.75027,0.42667,1.1156,2.09678,0.92904,0.000497607,0.000497607,0.000497607
6,30.8609,0.9305,1.97672,0.72701,0.65474,0.7982,0.71883,0.4063,1.21398,2.22967,0.99496,0.000588002,0.000588002,0.000588002
7,35.5528,0.90445,1.98153,0.72851,0.6786,0.76621,0.71856,0.38956,1.16334,2.16839,0.92355,0.00067479,0.00067479,0.00067479
8,40.2245,1.00393,1.99074,0.74967,0.68664,0.7473,0.71451,0.37464,1.15835,2.17536,0.88522,0.000735894,0.000735894,0.000735894
9,44.9724,0.97257,1.93243,0.73667,0.73578,0.84736,0.79732,0.43179,1.15665,2.19735,0.92756,0.000722022,0.000722022,0.000722022
10,49.785,0.97374,2.02079,0.73146,0.72113,0.721,0.74059,0.39833,1.17764,2.32376,0.92749,0.00070815,0.00070815,0.00070815
11,54.5661,0.97799,2.00575,0.76034,0.66355,0.78432,0.72586,0.39895,1.16014,2.2525,0.9193,0.000694278,0.000694278,0.000694278
12,59.4409,0.9079,1.82547,0.71579,0.68294,0.76091,0.72533,0.38623,1.14648,2.26626,0.905,0.000680406,0.000680406,0.000680406
13,64.2351,0.91519,1.70182,0.7264,0.62149,0.80499,0.69149,0.37291,1.12921,2.2019,0.88316,0.000666533,0.000666533,0.000666533
14,69.1032,0.93442,1.90171,0.72199,0.64301,0.85988,0.70561,0.37818,1.07489,2.0927,0.84475,0.000652661,0.000652661,0.000652661
15,73.9642,0.91029,1.81861,0.7409,0.67037,0.87264,0.75606,0.41365,1.10447,2.09632,0.84671,0.000638789,0.000638789,0.000638789
16,78.7792,0.91397,1.79651,0.70668,0.61744,0.86064,0.7416,0.42074,1.15846,2.20079,0.90119,0.000624917,0.000624917,0.000624917
17,83.5583,0.88003,1.92392,0.75477,0.64145,0.77477,0.73642,0.40151,1.16389,2.24173,0.91448,0.000611044,0.000611044,0.000611044
18,88.3363,0.91868,1.86547,0.73323,0.62098,0.85247,0.74429,0.39067,1.16152,2.22933,0.90459,0.000597172,0.000597172,0.000597172
19,93.0652,0.90176,1.83091,0.70818,0.6299,0.84428,0.74206,0.39447,1.12254,2.20226,0.90222,0.0005833,0.0005833,0.0005833
20,97.9096,0.90197,1.76829,0.73144,0.64934,0.8184,0.72903,0.39994,1.06824,1.91185,0.86273,0.000569428,0.000569428,0.000569428
21,102.769,0.92102,1.79657,0.7352,0.64712,0.78472,0.72113,0.38314,1.11185,2.01672,0.8757,0.000555555,0.000555555,0.000555555
22,107.465,0.86928,1.74322,0.69235,0.62029,0.8322,0.73221,0.38077,1.16332,2.10052,0.89983,0.000541683,0.000541683,0.000541683
23,112.33,0.92705,1.7792,0.73139,0.6064,0.83511,0.74138,0.4017,1.14274,2.09693,0.90934,0.000527811,0.000527811,0.000527811
24,117.064,0.89073,1.68452,0.71518,0.63062,0.83276,0.76529,0.41686,1.13033,1.89009,0.90991,0.000513939,0.000513939,0.000513939
25,121.833,0.88145,1.65065,0.7161,0.72012,0.76132,0.75929,0.41218,1.17835,2.01238,0.94471,0.000500067,0.000500067,0.000500067
26,126.498,0.85971,1.58892,0.69213,0.69029,0.79939,0.75135,0.40129,1.15171,1.97575,0.91497,0.000486194,0.000486194,0.000486194
27,131.251,0.84445,1.67179,0.72179,0.71716,0.77005,0.75697,0.40731,1.1081,1.97333,0.8895,0.000472322,0.000472322,0.000472322
28,136.074,0.88605,1.65534,0.70569,0.71012,0.77852,0.77393,0.4331,1.09724,2.05021,0.89483,0.00045845,0.00045845,0.00045845
29,140.856,0.85395,1.54093,0.69597,0.67594,0.75264,0.73364,0.3903,1.1804,2.15547,0.93974,0.000444578,0.000444578,0.000444578
30,145.634,0.90454,1.62825,0.68936,0.62536,0.8331,0.71311,0.35293,1.29506,2.23122,1.00059,0.000430705,0.000430705,0.000430705
31,150.489,0.85683,1.50683,0.68798,0.63856,0.82858,0.72896,0.37801,1.2321,2.12321,0.97345,0.000416833,0.000416833,0.000416833
32,155.262,0.89034,1.58656,0.7191,0.6488,0.76369,0.7061,0.35282,1.22728,2.04358,0.95949,0.000402961,0.000402961,0.000402961
33,160.043,0.87194,1.60713,0.69778,0.68456,0.81634,0.75871,0.38849,1.1292,1.90908,0.918,0.000389089,0.000389089,0.000389089
34,164.848,0.86262,1.54097,0.71707,0.7022,0.83909,0.78432,0.41353,1.11108,1.91149,0.90601,0.000375217,0.000375217,0.000375217
35,169.775,0.89243,1.64034,0.70561,0.70135,0.86413,0.78984,0.42261,1.14129,2.0083,0.92055,0.000361344,0.000361344,0.000361344
36,174.664,0.85295,1.54421,0.68555,0.65272,0.85429,0.76379,0.38503,1.18926,2.11122,0.92255,0.000347472,0.000347472,0.000347472
37,179.523,0.80248,1.42883,0.69801,0.64873,0.8635,0.76342,0.39842,1.1334,2.02858,0.89391,0.0003336,0.0003336,0.0003336
38,184.429,0.83966,1.53582,0.69891,0.69219,0.79499,0.78486,0.41561,1.13383,2.04576,0.91086,0.000319728,0.000319728,0.000319728
39,189.286,0.8093,1.44856,0.6749,0.69686,0.8084,0.78775,0.4111,1.14855,2.00931,0.92558,0.000305855,0.000305855,0.000305855
40,194.177,0.86419,1.45082,0.66446,0.66509,0.84934,0.7776,0.37934,1.18374,2.05361,0.93671,0.000291983,0.000291983,0.000291983
41,199.053,0.78122,1.36982,0.67235,0.67017,0.90519,0.80187,0.38535,1.17378,2.04924,0.93851,0.000278111,0.000278111,0.000278111
42,204.008,0.79464,1.31668,0.68709,0.84191,0.85414,0.88432,0.49147,1.11108,1.82461,0.93999,0.000264239,0.000264239,0.000264239
