epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.17454,2.15467,4.7459,1.42427,0.00155,0.02351,0.0011,0.00051,1.38023,3.99847,1.10576,4.998e-05,4.998e-05,4.998e-05
2,5.29855,1.75516,4.55974,1.26379,0.01098,0.07501,0.01335,0.00942,1.20268,3.9717,0.99379,0.000107397,0.000107397,0.000107397
3,7.16064,1.56671,4.15025,1.11098,0.01286,0.10342,0.01974,0.01175,1.33328,3.93734,1.03968,0.000163851,0.000163851,0.000163851
4,9.0478,1.55217,3.63356,1.06738,0.01045,0.12625,0.02622,0.011,1.51409,3.90974,1.1155,0.000219343,0.000219343,0.000219343
5,10.8793,1.48291,3.17101,1.06755,0.01353,0.21343,0.06733,0.02888,1.49168,3.80568,1.12836,0.000273874,0.000273874,0.000273874
6,12.733,1.56559,3.03569,1.05283,0.01599,0.26696,0.11785,0.05293,1.44055,3.73753,1.10615,0.000327442,0.000327442,0.000327442
7,14.5927,1.43789,2.6663,1.06435,0.02011,0.35165,0.12949,0.06267,1.41831,3.72478,1.09251,0.000380048,0.000380048,0.000380048
8,16.4708,1.45358,2.36474,1.0928,0.01813,0.37942,0.13812,0.07788,1.2805,3.65657,1.06514,0.000431692,0.000431692,0.000431692
9,18.3111,1.43267,2.21668,1.06558,0.01721,0.36466,0.16092,0.09796,1.34188,3.70642,1.15774,0.000482374,0.000482374,0.000482374
10,20.1194,1.3963,2.02575,1.05303,0.02667,0.52444,0.23451,0.1286,1.3627,3.57171,1.14582,0.000532093,0.000532093,0.000532093
11,21.9652,1.37578,1.88268,1.05014,0.03163,0.56334,0.28902,0.14325,1.3527,3.40349,1.13169,0.000580851,0.000580851,0.000580851
12,23.8059,1.47822,1.94022,1.06854,0.58761,0.22993,0.38715,0.2063,1.33244,3.08619,1.09619,0.000628646,0.000628646,0.000628646
13,25.6069,1.36607,1.90207,1.06384,0.65,0.32083,0.46321,0.23089,1.35911,2.92383,1.10762,0.00067548,0.00067548,0.00067548
14,27.4051,1.34335,1.76237,1.05839,0.69034,0.30184,0.50604,0.2463,1.37566,2.68296,1.1633,0.000721351,0.000721351,0.000721351
