epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.80702,1.78086,11.3579,1.50559,0.38076,0.0439,0.0029,0.00077,1.69035,9.67709,1.47226,9.996e-05,9.996e-05,9.996e-05
2,6.08621,1.55084,5.16092,1.37612,0.61173,0.2217,0.21725,0.10892,1.23025,8.92124,1.20476,0.000206188,0.000206188,0.000206188
3,8.28057,1.38326,3.24011,1.18274,0.74184,0.31699,0.42421,0.22574,1.22533,7.25269,1.16428,0.000310273,0.000310273,0.000310273
4,10.5054,1.31979,2.83149,1.20034,0.62382,0.45587,0.42497,0.23308,1.24872,4.37455,1.16887,0.000412213,0.000412213,0.000412213
5,12.5486,1.23206,2.54048,1.12813,0.60251,0.49779,0.48077,0.25011,1.2149,3.60471,1.14806,0.000512008,0.000512008,0.000512008
6,14.5121,1.25709,2.36207,1.13018,0.68711,0.53555,0.57337,0.30211,1.192,3.25721,1.16078,0.00060966,0.00060966,0.00060966
7,16.4065,1.1425,2.09287,1.10741,0.65939,0.56675,0.60221,0.30889,1.23083,2.90358,1.19711,0.000705168,0.000705168,0.000705168
8,18.2184,1.16217,1.92271,1.05283,0.69092,0.61086,0.62003,0.31749,1.2213,2.46377,1.20466,0.000775273,0.000775273,0.000775273
9,19.9059,1.13798,1.96967,1.14375,0.68313,0.59245,0.60253,0.30105,1.17999,2.68353,1.20361,0.000767026,0.000767026,0.000767026
10,21.56,1.18694,1.82492,1.14277,0.72547,0.59388,0.62334,0.32263,1.1626,1.77347,1.18094,0.00075878,0.00075878,0.00075878
11,23.1943,1.14754,1.72344,1.11124,0.75537,0.57369,0.63361,0.33745,1.14426,1.72161,1.18515,0.000750533,0.000750533,0.000750533
12,24.8352,1.1119,1.58226,1.09523,0.67784,0.56687,0.60082,0.32591,1.1851,1.78834,1.24331,0.000742286,0.000742286,0.000742286
13,26.4387,1.07828,1.57512,1.07126,0.63853,0.57737,0.57037,0.31543,1.21224,1.61722,1.25916,0.00073404,0.00073404,0.00073404
14,28.1623,1.05479,1.60076,1.07236,0.71244,0.58011,0.59566,0.32096,1.18436,1.54549,1.18509,0.000725793,0.000725793,0.000725793
15,29.8195,1.09984,1.46777,1.09194,0.696,0.63148,0.59891,0.33756,1.15138,1.54705,1.1572,0.000717546,0.000717546,0.000717546
16,31.5843,1.09767,1.51351,1.08525,0.59216,0.62388,0.62538,0.35093,1.14206,1.40624,1.14759,0.000709299,0.000709299,0.000709299
17,33.2255,1.09311,1.48346,1.09683,0.62255,0.61777,0.62846,0.35783,1.15356,1.41432,1.17238,0.000701053,0.000701053,0.000701053
18,34.9074,1.08305,1.39493,1.05996,0.52414,0.66347,0.60456,0.33504,1.17563,1.54258,1.20573,0.000692806,0.000692806,0.000692806
19,36.5301,1.02773,1.39224,1.07947,0.53644,0.62634,0.61368,0.32163,1.1741,1.61113,1.19118,0.000684559,0.000684559,0.000684559
20,38.161,0.98267,1.26141,1.05368,0.58626,0.64723,0.62957,0.32623,1.10399,1.54123,1.12638,0.000676313,0.000676313,0.000676313
21,39.8021,1.05836,1.31858,1.04871,0.60952,0.72978,0.66745,0.35506,1.0936,1.55473,1.13402,0.000668066,0.000668066,0.000668066
22,41.4536,1.01948,1.18789,1.03351,0.56407,0.73033,0.64571,0.35163,1.12699,1.54173,1.15754,0.000659819,0.000659819,0.000659819
23,43.0531,1.00499,1.22732,1.04336,0.54774,0.71144,0.64225,0.32364,1.19907,1.52947,1.19396,0.000651573,0.000651573,0.000651573
24,44.6632,1.0064,1.18958,1.01879,0.55034,0.67424,0.60398,0.28851,1.27453,1.63814,1.2244,0.000643326,0.000643326,0.000643326
25,46.2889,0.97775,1.14976,1.04613,0.56268,0.71659,0.65368,0.34494,1.1763,1.48006,1.18941,0.000635079,0.000635079,0.000635079
26,47.9821,0.98619,1.13211,1.02589,0.68894,0.71076,0.70717,0.36842,1.13108,1.34905,1.20268,0.000626832,0.000626832,0.000626832
27,49.6309,1.0068,1.22008,1.03113,0.65901,0.71722,0.69199,0.3618,1.14661,1.36073,1.24924,0.000618586,0.000618586,0.000618586
28,51.3358,1.01962,1.2615,1.02731,0.65115,0.71234,0.69175,0.35384,1.14606,1.3179,1.2239,0.000610339,0.000610339,0.000610339
29,53.011,0.9342,1.12775,1.00047,0.66495,0.70417,0.70233,0.34937,1.17838,1.41232,1.19505,0.000602092,0.000602092,0.000602092
30,54.6607,0.97727,1.14432,1.01788,0.65917,0.68928,0.67167,0.34196,1.1942,1.52165,1.19682,0.000593846,0.000593846,0.000593846
31,56.3051,0.93654,1.07049,0.99693,0.59999,0.73958,0.68728,0.37545,1.15365,1.56568,1.18816,0.000585599,0.000585599,0.000585599
32,58.0173,0.92623,0.99521,0.99286,0.63966,0.76199,0.70636,0.37286,1.18897,1.46498,1.19922,0.000577352,0.000577352,0.000577352
33,59.6626,0.93638,0.99035,1.02025,0.71069,0.71053,0.73344,0.37892,1.16477,1.49496,1.18872,0.000569106,0.000569106,0.000569106
34,61.3456,0.9264,0.99831,1.00346,0.71395,0.69046,0.70906,0.39367,1.14553,1.50381,1.19776,0.000560859,0.000560859,0.000560859
35,63.0811,0.96164,1.0506,1.00121,0.60018,0.75623,0.66923,0.36657,1.15434,1.52524,1.21191,0.000552612,0.000552612,0.000552612
36,64.777,0.93861,1.00755,1.00497,0.6262,0.74463,0.69863,0.36275,1.16895,1.38507,1.23619,0.000544365,0.000544365,0.000544365
